source;date;titre;lien;categorie
Numerama;2026-09-21T16:12:33+00:00;Grande première du Starship : suivez en direct le vol orbital que va tenter la fusée géante;https://www.numerama.com/sciences/2327839-grande-premiere-du-starship-suivez-en-direct-le-vol-orbital-que-va-tenter-la-fusee-geante.html;19. Sciences
Numerama;2026-09-21T16:10:00+00:00;L’adaptation de Helldivers en film avec Alan « Reacher » Ritchson, un rêve qui devient réalité ?;https://www.numerama.com/pop-culture/2337151-ladaptation-de-helldivers-en-film-avec-alan-reacher-ritchson-un-reve-qui-devient-realite.html;16. ludique
Numerama;2026-09-21T16:08:46+00:00;Google condamné à 403 millions d’euros d’amende pour ses données de localisation, au terme de six ans d’enquête;https://www.numerama.com/tech/2337135-google-condamne-a-403-millions-deuros-damende-pour-ses-donnees-de-localisation-au-terme-de-six-ans-denquete.html;17. actu jur et pol
LesNumeriques;2026-09-21T16:07:02+00:00;Actualité : Bon plan – Le casque Bluetooth Sennheiser Momentum 4 Wireless Blanc à 199,00 € (-20%);https://www.lesnumeriques.com/casque-bluetooth/bon-plan-le-casque-bluetooth-sennheiser-momentum-4-wireless-blanc-a-199-00-20-n262126.html;20. Sponso
LesNumeriques;2026-09-21T16:05:00+00:00;Test Apple Mac Mini M6 : toujours aussi petit, encore plus puissant;https://www.lesnumeriques.com/ordinateur-de-bureau/apple-mac-mini-m6-p78713/test.html;NON_CLASSE
Numerama;2026-09-21T16:03:56+00:00;Nintendo brade sa Switch première génération avec Mario Kart 8 Deluxe avant sa retraite;https://www.numerama.com/tech/2337133-nintendo-brade-sa-switch-premiere-generation-avec-mario-kart-8-deluxe-avant-sa-retraite.html;20. Sponso
Phonandroid;2026-09-21T16:03:20+00:00;Quelle date de sortie pour les RTX 60 ? Nvidia prend son temps;https://www.phonandroid.com/quelle-date-de-sortie-pour-les-rtx-60-nvidia-prend-son-temps.html;2. PC_OS
JournalDuGeek;2026-09-21T16:02:03+00:00;PlayStation va bientôt avoir le droit à son Animal Crossing;https://www.journaldugeek.com/2026/09/21/playstation-va-bientot-avoir-le-droit-a-son-animal-crossing/;16. ludique
Frandroid - RSS;2026-09-21T15:57:39+00:00;Audi contre « AUDI » : la marque saisit la justice contre ses propres voitures chinoises;https://www.frandroid.com/marques/audi/3254357_audi-contre-audi-la-marque-saisit-la-justice-contre-ses-propres-voitures-chinoises;17. actu jur et pol
KultureGeek;2026-09-21T15:50:33+00:00;[#BonPlan] Les promos High-Tech du 21 septembre;https://kulturegeek.fr/news-359882/bonplan-promos-high-tech-21-septembre-2026;20. Sponso
Frandroid - RSS;2026-09-21T15:49:28+00:00;33 € d’économies sans rien installer : le nouveau service électrique gratuit d’Octopus Energy;https://www.frandroid.com/survoltes/energie/3253571_33-e-deconomies-sans-rien-installer-le-nouveau-service-electrique-gratuit-doctopus-energy;NON_CLASSE
Frandroid - RSS;2026-09-21T15:49:21+00:00;Nos premiers tests du Mac mini M6 : la machine parfaite pour tout le monde ?;https://www.frandroid.com/marques/apple/3251739_nos-premiers-tests-du-mac-mini-m6-la-machine-parfaite-pour-tout-le-monde;NON_CLASSE
LesNumeriques;2026-09-21T15:48:00+00:00;Actualité : L’iPhone 18 Pro est un téléphone plutôt réparable, à un malheureux détail près;https://www.lesnumeriques.com/telephone-portable/l-iphone-18-pro-est-un-telephone-plutot-reparable-a-un-malheureux-detail-pres-n262124.html;1. SMARTPHONE
01net;2026-09-21T15:46:40+00:00;Dans le top 10 des ventes TV sur Amazon, cette TCL 55″ QD-Mini LED perd 100 €;https://www.01net.com/bons-plans/dans-le-top-10-des-ventes-tv-sur-amazon-cette-tcl-55%e2%80%b3-qd-mini-led-perd-100-e.html;20. Sponso
Phonandroid;2026-09-21T15:44:32+00:00;Google Pixel : fini les interminables attentes téléphoniques, Gemini va s’en charger pour vous;https://www.phonandroid.com/google-pixel-fini-les-interminables-attentes-telephoniques-gemini-va-sen-charger-pour-vous.html;1. SMARTPHONE
JournalDuGeek;2026-09-21T15:41:42+00:00;La Dacia électrique à 13 000 € se précise, et elle ressemble à rien;https://www.journaldugeek.com/2026/09/21/la-dacia-electrique-a-13-000-e-se-precise-et-elle-ressemble-a-rien/;10. Voiture
TomsHardware;2026-09-21T15:37:00+00:00;Snapdragon 8 Elite Extreme Gen 6 : les premiers détails en fuite avant l’annonce officielle ?;https://www.tomshardware.fr/snapdragon-8-elite-extreme-gen-6-les-premiers-details-en-fuite-avant-lannonce-officielle/;2. PC_OS
Frandroid - RSS;2026-09-21T15:34:24+00:00;Amazon brade presque à moitié prix le flagship de Nothing, l’excellent Phone (3);https://www.frandroid.com/bons-plans/3254535_amazon-brade-presque-a-moitie-prix-le-flagship-de-nothing-lexcellent-phone-3;20. Sponso
JournalDuGeek;2026-09-21T15:30:53+00:00;“Trop gros” ? Pourquoi Leonardo DiCaprio n’apparaît pas dans la suite d’Once Upon A Time in Hollywood;https://www.journaldugeek.com/2026/09/21/trop-gros-pourquoi-leonardo-dicaprio-napparait-pas-dans-la-suite-donce-upon-a-time-in-hollywood/;NON_CLASSE
01net;2026-09-21T15:30:19+00:00;Galaxy S27 Pro et Ultra : Samsung miserait sur de plus grosses batteries et une recharge plus rapide;https://www.01net.com/actualites/galaxy-s27-pro-et-ultra-samsung-miserait-sur-de-plus-grosses-batteries-et-une-recharge-plus-rapide.html;1. SMARTPHONE
Frandroid - RSS;2026-09-21T15:29:55+00:00;Meilleur air fryer 2026 : notre comparatif des meilleures friteuses sans huile testées;https://www.frandroid.com/guide-dachat/3162243_friteuses-sans-huile-les-meilleurs-air-fryers-a-acheter;NON_CLASSE
LesNumeriques;2026-09-21T15:26:00+00:00;Actualité : Bosch HomeCafé Série 4 : la marque se lance sur le marché des machines à café à percolateur;https://www.lesnumeriques.com/cafetiere-a-percolateur/bosch-homecafe-serie-4-la-marque-se-lance-sur-le-marche-des-machines-a-cafe-a-percolateur-n262122.html;16. ludique
Frandroid - RSS;2026-09-21T15:16:04+00:00;Taxe au kilomètre sur les électriques : 3 pays l’appliquent déjà, la France y réfléchit;https://www.frandroid.com/survoltes/voitures-electriques/3254317_taxe-au-kilometre-sur-les-electriques-3-pays-lappliquent-deja-la-france-y-reflechit;10. Voiture
Frandroid - RSS;2026-09-21T15:13:17+00:00;C’était prévisible : la nouvelle AMD Radeon RX 9050 4 Go humiliée par sa cousine 8 Go;https://www.frandroid.com/marques/amd/3253659_cetait-previsible-la-nouvelle-amd-radeon-rx-9050-4-go-humiliee-par-sa-cousine-8-go;2. PC_OS
Numerama;2026-09-21T15:05:02+00:00;Calendrier de la pleine Lune en 2026 : quand a lieu la prochaine ?;https://www.numerama.com/sciences/1599622-calendrier-de-la-pleine-lune-en-2026-quand-a-lieu-la-prochaine.html;19. Sciences
Frandroid - RSS;2026-09-21T15:04:02+00:00;Les 10 smartphones les plus populaires de la semaine sur Frandroid : le duel Apple contre Samsung bat son plein;https://www.frandroid.com/produits-android/smartphone/2491986_les-10-smartphones-les-plus-populaires-de-la-semaine-sur-frandroid-le-duel-apple-contre-samsung-bat-son-plein;1. SMARTPHONE
01net;2026-09-21T15:02:32+00:00;Après les Backrooms, cet autre phénomène du web va avoir droit à son film;https://www.01net.com/actualites/apres-les-backrooms-cet-autre-phenomene-du-web-va-avoir-droit-a-son-film.html;5. Logiciels _ OS
Frandroid - RSS;2026-09-21T15:02:31+00:00;Les vidéos YouTube sont bloquées en 480p : quelles solutions avant un éventuel correctif;https://www.frandroid.com/marques/google/3254243_les-videos-youtube-sont-bloquees-en-480p-quelles-solutions-avant-un-eventuel-correctif;7. Video
Frandroid - RSS;2026-09-21T15:00:17+00:00;27 milliards de paramètres dans 5,9 Go : l’IA chinoise géante qui tourne sur Mac et iPhone;https://www.frandroid.com/culture-tech/intelligence-artificielle/3254539_27-milliards-de-parametres-dans-59-go-lia-chinoise-geante-qui-tourne-sur-mac-et-iphone;18. Actualité éco
JournalDuGeek;2026-09-21T15:00:11+00:00;Cette actrice d’Agents du S.H.I.E.L.D. éprouve toujours une certaine colère envers Marvel et le MCU (et elle a raison);https://www.journaldugeek.com/2026/09/21/cette-actrice-dagents-du-s-h-i-e-l-d-eprouve-toujours-une-certaine-colere-envers-marvel-et-le-mcu-et-elle-a-raison/;NON_CLASSE
Frandroid - RSS;2026-09-21T14:55:00+00:00;Comment transférer ses playlists Spotify vers Apple Music ?;https://www.frandroid.com/services/streaming-musical/1839875_comment-transferer-ses-playlists-spotify-vers-apple-music;16. ludique
01net;2026-09-21T14:51:32+00:00;Redmi Pad 2 : Xiaomi dope les ventes avec un deal des grands jours (-62%) 🚀;https://www.01net.com/bons-plans/redmi-pad-2-xiaomi-dope-les-ventes-avec-un-deal-des-grands-jours-62.html;20. Sponso
JournalDuGeek;2026-09-21T14:46:37+00:00;Quel airfryer choisir en 2026 ? Voici notre guide complet;https://www.journaldugeek.com/dossier/quel-airfryer-choisir-en-2026-voici-notre-guide-complet/;12. Cuisine
CCM;2026-09-21T14:42:46+00:00;Sur Disney+, même les abonnements les plus chers auront désormais de la pub;https://www.commentcamarche.net/image-son/streaming/38889-pub-partout-dans-disney/;16. ludique
Frandroid - RSS;2026-09-21T14:40:57+00:00;La batterie de votre Pixel 11 se vide rapidement ? Votre routeur pourrait être le coupable;https://www.frandroid.com/marques/google/3254307_la-batterie-de-votre-pixel-11-se-vide-rapidement-votre-routeur-pourrait-etre-le-coupable;1. SMARTPHONE
Frandroid - RSS;2026-09-21T14:37:37+00:00;Huawei Watch GT 7 Pro : faut-il passer à la nouvelle génération si l’on possède déjà une Watch GT 6 Pro ? [Sponso];https://www.frandroid.com/produits-android/accessoires-objets-connectes/montres-connectees-2/3250969_huawei-watch-gt-7-pro-faut-il-passer-a-la-nouvelle-generation-si-lon-possede-deja-une-watch-gt-6-pro;15. Santé
Numerama;2026-09-21T14:34:53+00:00;Warner/Paramount : les autorités américaines imposent une énorme condition qui peut tout changer;https://www.numerama.com/pop-culture/2337051-warner-paramount-les-autorites-americaines-imposent-une-enorme-condition-qui-peut-tout-changer.html;16. ludique
JournalDuGeek;2026-09-21T14:30:46+00:00;Bonne ou mauvaise nouvelle, WoW Forever attire tellement de joueurs que les serveurs craquent;https://www.journaldugeek.com/2026/09/21/bonne-ou-mauvaise-nouvelle-wow-forever-attire-tellement-de-joueurs-que-les-serveurs-craquent/;2. PC_OS
Frandroid - RSS;2026-09-21T14:20:06+00:00;Smartphones Xiaomi : quel modèle Redmi, Poco ou Xiaomi choisir en 2026 ?;https://www.frandroid.com/guide-dachat/487395_quels-smartphones-xiaomi-acheter-en-2018-la-selection-de-frandroid;1. SMARTPHONE
KultureGeek;2026-09-21T14:19:24+00:00;TikTok : un juge menace de bloquer une partie de l’accord à 400 millions de dollars;https://kulturegeek.fr/news-359791/tiktok-juge-bloquer-partie-accord-400-millions-dollars;17. actu jur et pol
01net;2026-09-21T14:16:49+00:00;La charge de l’iPhone 18 Pro est-elle vraiment plus rapide ? On l’a testé, voici notre verdict;https://www.01net.com/actualites/la-charge-de-liphone-18-pro-est-elle-vraiment-plus-rapide-on-la-teste-voici-notre-verdict.html;3. Periphérique
Frandroid - RSS;2026-09-21T14:13:00+00:00;Ce chargeur sans fil Qi2 25 W 2-en-1 avec ventilateur intégré, pensé pour les iPhone et les AirPods, perd 20 %;https://www.frandroid.com/bons-plans/3254251_ce-chargeur-sans-fil-qi2-25-w-2-en-1-avec-ventilateur-integre-pense-pour-les-iphone-et-les-airpods-perd-20;20. Sponso
Phonandroid;2026-09-21T14:12:29+00:00;Non, Disney+ ne va pas ajouter de la pub à ses abonnements Standard et Premium;https://www.phonandroid.com/non-disney-ne-va-pas-ajouter-de-la-pub-a-ses-abonnements-standard-et-premium.html;16. ludique
Numerama;2026-09-21T14:10:08+00:00;L’excellente manette sans fil Xbox Series, pour jouer sur Xbox et PC, est à – 35 %;https://www.numerama.com/tech/2336843-lexcellente-manette-sans-fil-xbox-series-pour-jouer-sur-xbox-et-pc-est-a-35.html;16. ludique
KultureGeek;2026-09-21T14:01:32+00:00;La Chine freine les introductions en Bourse des fabricants de robots humanoïdes;https://kulturegeek.fr/news-359835/chine-freine-introductions-bourse-fabricants-robots-humanoides;17. actu jur et pol
01net;2026-09-21T14:00:41+00:00;iPhone Duo : Apple aurait sacrifié le premier accessoire de son smartphone pliant;https://www.01net.com/actualites/iphone-duo-apple-aurait-sacrifie-le-premier-accessoire-de-son-smartphone-pliant.html;1. SMARTPHONE
JournalDuGeek;2026-09-21T14:00:11+00:00;Télécharger des films est plus dangereux que jamais : ce virus peut ruiner votre PC;https://www.journaldugeek.com/2026/09/21/telecharger-films-plus-dangereux-jamais-virus-peut-ruiner-pc/;16. ludique
LesNumeriques;2026-09-21T13:58:00+00:00;Actualité : The Further Mis-Adventures of Cliff Booth : un trailer débridé pour le film Netflix avec Brad Pitt;https://www.lesnumeriques.com/film/the-further-mis-adventures-of-cliff-booth-un-trailer-debride-pour-le-film-netflix-avec-brad-pitt-n262121.html;16. ludique
Phonandroid;2026-09-21T13:57:22+00:00;Cette carte microSD Express Samsung de 256 Go offre plus d’espace à votre Switch 2 pour moins de 47 €;https://www.phonandroid.com/carte-microsd-express-samsung-256-go-espace-switch-2-moins-47-e.html;16. ludique
Frandroid - RSS;2026-09-21T13:52:15+00:00;J’ai essayé un Googlebook : Google peut-il vaincre Windows et Apple ?;https://www.frandroid.com/marques/google/3254227_jai-essaye-un-googlebook-google-peut-il-vaincre-windows-et-apple;2. PC_OS
Numerama;2026-09-21T13:50:46+00:00;Copier le code sans ouvrir le mail : Google s’attaque au geste de trop de la double authentification;https://www.numerama.com/cyberguerre/2336985-copier-le-code-sans-ouvrir-le-mail-google-sattaque-au-geste-de-trop-de-la-double-authentification.html;5. Logiciels _ OS
KultureGeek;2026-09-21T13:43:27+00:00;Un microdrone revient se poser sur un drone porteur en plein vol;https://kulturegeek.fr/news-359731/microdrone-retour-pose-drone-porteur-vol;16. ludique
LesNumeriques;2026-09-21T13:41:00+00:00;Actualité : Tesla Roadster : 43 000 € pour réserver la voiture que personne n'a vue depuis neuf ans;https://www.lesnumeriques.com/voiture-electrique/tesla-roadster-43-000-pour-reserver-la-voiture-que-personne-n-a-vue-depuis-neuf-ans-n262120.html;10. Voiture
Phonandroid;2026-09-21T13:35:25+00:00;La batterie de votre Pixel 11 en veille se vide trop vite ? Votre connexion Wi-Fi est peut-être coupable;https://www.phonandroid.com/la-batterie-de-votre-pixel-11-en-veille-se-vide-trop-vite-votre-connexion-wi-fi-est-peut-etre-coupable.html;1. SMARTPHONE
KultureGeek;2026-09-21T13:30:07+00:00;Resident Evil : le nouveau film de Zach Cregger pulvérise les records de la saga au box-office;https://kulturegeek.fr/news-359859/resident-evil-nouveau-film-zach-cregger-pulverise-records-saga-box-office;16. ludique
Phonandroid;2026-09-21T13:28:36+00:00;Zambie, Chine, Chili… ce Volkswagen ID. Buzz a bouclé un tour du monde record sans la moindre panne;https://www.phonandroid.com/zambie-chine-chili-ce-volkswagen-id-buzz-a-boucle-un-tour-du-monde-record-sans-la-moindre-panne.html;17. actu jur et pol
LesNumeriques;2026-09-21T13:16:00+00:00;Actualité : Thermomix : Cookidoo se met à l'IA et veut rendre la cuisine plus internationale avec des mises à jour majeures;https://www.lesnumeriques.com/robot-cuiseur-multifonction/thermomix-cookidoo-se-met-a-l-ia-et-veut-rendre-la-cuisine-plus-internationale-avec-des-mises-a-jour-majeures-n262114.html;12. Cuisine
Numerama;2026-09-21T13:15:00+00:00;Google lance officiellement ses Googlebook pour concurrencer les MacBook d’Apple;https://www.numerama.com/tech/2336957-google-lance-officiellement-ses-googlebook-pour-concurrencer-les-macbook-dapple.html;2. PC_OS
LesNumeriques;2026-09-21T13:10:00+00:00;Actualité : Tout savoir sur les Googlebook d’Acer, Asus, Dell, HP et Lenovo;https://www.lesnumeriques.com/ordinateur-portable/tout-savoir-sur-les-googlebook-d-acer-asus-dell-hp-et-lenovo-n262106.html;2. PC_OS
LesNumeriques;2026-09-21T13:07:00+00:00;Actualité : Sans ventilateur et autonomie d'une journée : la promesse du SoC MediaTek Dimensity CX C10 Max pour les Googlebook;https://www.lesnumeriques.com/cpu-processeur/sans-ventilateur-et-autonomie-d-une-journee-la-promesse-du-soc-mediatek-dimensity-cx-c10-max-pour-les-googlebook-n262063.html;11. Menage
Phonandroid;2026-09-21T13:02:57+00:00;Asus dévoile son Googlebook 14 : léger, puissant et taillé sur mesure pour l’écosystème Android;https://www.phonandroid.com/asus-devoile-son-googlebook-14-leger-puissant-et-taille-sur-mesure-pour-lecosysteme-android.html;2. PC_OS
JournalDuGeek;2026-09-21T13:00:54+00:00;Voici les Googlebook, les PC avec Google et Gemini;https://www.journaldugeek.com/2026/09/21/voici-les-googlebook-les-pc-avec-google-et-gemini/;2. PC_OS
Phonandroid;2026-09-21T13:00:51+00:00;Les Googlebook sont officiels : Google réinvente l’ordinateur portable grâce à l’IA et Android;https://www.phonandroid.com/les-googlebook-sont-officiels-google-tente-de-reinventer-lordinateur-portable-autour-de-lia.html;2. PC_OS
Frandroid - RSS;2026-09-21T13:00:38+00:00;34 pouces incurvé, UWQHD et 400 Hz : ce moniteur MSI taillé pour le jeu chute de 30 % chez Boulanger;https://www.frandroid.com/bons-plans/3254235_34-pouces-incurve-uwqhd-et-400-hz-ce-moniteur-msi-taille-pour-le-jeu-chute-de-30-chez-boulanger;20. Sponso
01net;2026-09-21T13:00:11+00:00;Google dévoile les Googlebooks, 5 ordinateurs portables destinés à enterrer les Chromebooks;https://www.01net.com/actualites/google-devoile-les-googlebooks-5-ordinateurs-portables-destines-a-enterrer-les-chromebooks.html;2. PC_OS
